,name,Tullio_Data,Satus,comment,corot,resolution,dyn_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend.1,Mdisk,Mdisk_fit,Mdisk3D,Mej,dMej,Munb,Munb_bern,ThetaRMS,Yeej,Sej,vej,Ekej,geometry,logL_ourmass,logL_fitmass,chi2_t^-2_fitmass,chi2_t^-2_ourmass,logL_fitmass_new,logL_ourmass_new,err_ourmass_new,err_fitmass_new,logL
20,LS220_M14691268_M0_SR,,,R01,False,,passed,LS220,1469.0,1268.0,1.6195,1.3769,2.9964,1.4444353298700001,1.2470205847799998,8.563919049739999,8.642672727110003,0.16866535022,0.14428651246500002,0.0884964771098,0.10656716858200001,432.224328115,1136.06687419,713.8651489563788,134.12846165089059,0.04960472567367378,,2.71256,0.0376799569153,7.4058699999999975,1.55912555334,283.00454515771554,2938.16413374,0.013505566392149749,inf,0.04960472567367378,,0.09869112043741443,,0.00348255,0.0,0.0033323677759651764,0.02681874508437456,30.19428347937955,0.1728051520162338,12.131268168411081,0.17555218500074374,0.09592636456707873,aniso3comp,-10405.384700445797,-10405.384700445797,4249.092532962332,4249.092532962332,-13908.182427840286,-13908.182427840286,0.00939320309890289,0.00939320309890289,27816.364855680553
21,SFHo_M13641364_M0_HR,,,R01,False,,passed,SFHo,1364.0,1364.0,1.5031,1.5031,3.0062,1.35452801598,1.35452801598,8.06259610508,8.06259610508,0.168001605958,0.168001605958,0.082938278237,0.082938278237,413.142377296,413.142377296,413.14237729604514,77.46363315098243,0.0232497522620492,,2.70328,0.0630908600722,7.404910000000001,2.04526624403,282.7610380947849,3685.1550151999995,0.014207334845591137,0.003352139066220939,0.0232497522620492,0.0376123608559095,0.062009790324516374,,0.00338459,0.0,0.003506453152658307,0.007389238440766319,29.48566511784191,0.22179323167533369,16.44371163782024,0.19752273753305424,0.11802378124198712,aniso3comp,-255973.4116449537,-251813.09431926807,73916.83187219378,75264.85240856357,-79525.86522881799,-255973.4116449537,0.04795975603720068,0.02452686871436791,159051.73045763592
22,SFHo_M13641364_M0_LK_SR,,,R03,False,,passed,SFHo,1364.0,1364.0,1.5031,1.5031,3.0062,1.35452801598,1.35452801598,8.06259610508,8.06259610508,0.168001605958,0.168001605958,0.082938278237,0.082938278237,413.142377296,413.142377296,413.14237729604514,77.46363315098243,0.023596528227991628,,2.70328,0.061779667455199985,7.404910000000001,1.91638341235,282.7610380947849,3734.95440729,0.012039985058450955,0.006165753153526554,0.023596528227991628,0.09781204665134678,0.062009790324516374,,0.00657073,0.0033835485978694077,0.007356069183586559,0.024778103988069348,33.232936554108434,0.2261638452418117,16.00607871828549,0.18286394030450195,0.19638049518270093,aniso3comp,-15567.753461396309,-253884.52274908285,75105.05975766637,2368.9873808719835,-83449.42562662222,-15567.753461396309,0.009283128315304466,0.02486936049855671,166898.85125324418
23,SFHo_M13641364_M0_SR,,,R01,False,,passed,SFHo,1364.0,1364.0,1.5031,1.5031,3.0062,1.35452801598,1.35452801598,8.06259610508,8.06259610508,0.168001605958,0.168001605958,0.082938278237,0.082938278237,413.142377296,413.142377296,413.14237729604514,77.46363315098243,0.02168137914335504,,2.70328,0.06098187064180001,7.404910000000001,2.00918709914,282.7610380947849,3635.3556231,0.01401424368273683,0.0035767553168881924,0.02168137914335504,0.034942214901152666,0.062009790324516374,,0.00309578,0.03891080887528501,0.0031782706074778714,0.006412589833323504,32.823508882932785,0.23520321437989786,17.6649345288748,0.21117746122075856,0.12339388112941616,aniso3comp,-297970.87112911,-255402.96906975625,76226.01541414457,90193.19712399943,-80473.4848811205,-297970.87112911,0.052061270843270266,0.02469283741789081,160946.96976224115
24,SFHo_M14521283_M0_HR,,,R01,False,,passed,SFHo,1452.0,1283.0,1.6124,1404.0,3.0164,1.4419745752700002,1.2739463364,8.03977628285,8.08538890905,0.179355246011,0.157562068242,0.0763895869614,0.0882703779108,274.395476484,606.006538943,412.2825110530633,77.40891580303409,0.029097656051351062,,2.71006,0.0631114348319,7.3998300000000015,2.04670482765,282.7578549959232,3485.95744681,0.013939110823956451,inf,0.029097656051351062,,0.061684235922914755,,0.00382913,0.0038064921725893272,0.006319262737884884,0.07627047141308882,26.625408166147018,0.15758302391973894,12.500414434349315,0.23052541174365976,0.181872418084565,aniso3comp,-281030.0499005413,-281030.0499005413,86248.20555770617,86248.20555770617,-91816.21172720693,-91816.21172720693,0.026644749522574143,0.026644749522574143,183632.42345441374
25,SFHo_M14521283_M0_LK_SR,,,R03,False,,passed,SFHo,1452.0,1283.0,1.6124,1404.0,3.0164,1.4419745752700002,1.2739463364,8.03977628285,8.08538890905,0.179355246011,0.157562068242,0.0763895869614,0.0882703779108,274.395476484,606.006538943,412.2825110530633,77.40891580303409,0.02494422573199516,,2.71006,0.0710229791349,7.3998300000000015,2.11367749556,282.7578549959232,3485.95744681,0.011791464216699365,inf,0.02494422573199516,,0.061684235922914755,,0.00404902,0.0,0.021201690950649044,0.03031412158572708,29.72779518621861,0.16269864536179002,12.653942705716439,0.2445345951170901,0.21640104251304304,aniso3comp,-291473.135475369,-291473.135475369,90972.08158620537,90972.08158620537,-96607.00921835855,-96607.00921835855,0.02755368097479732,0.02755368097479732,193214.01843671687
26,SFHo_M14521283_M0_SR,,,R01,False,,passed,SFHo,1452.0,1283.0,1.6124,1404.0,3.0164,1.4419745752700002,1.2739463364,8.03977628285,8.08538890905,0.179355246011,0.157562068242,0.0763895869614,0.0882703779108,274.395476484,606.006538943,412.2825110530633,77.40891580303409,0.033006766940156626,,2.71006,0.051928342684000005,7.3998300000000015,1.86551430635,282.7578549959232,3436.15805471,0.01373025711719567,inf,0.033006766940156626,,0.061684235922914755,,0.00430061,0.0,0.01297461613914442,0.031551834588996665,34.08860746664045,0.20187092503317056,15.128903599140587,0.20942029624216096,0.1685761148885061,aniso3comp,-273672.9704691528,-273672.9704691528,82011.22915085303,82011.22915085303,-89483.07553961931,-89483.07553961931,0.026135763432532315,0.026135763432532315,178966.15107923874
27,SLy4_M13641364_M0_SR,,,R02,False,,passed,SLy4,1364.0,1364.0,1.5016,1.5016,3.0032,1.3422224473299995,1.3422224473299995,7.971128424139999,7.971128424139999,0.16838511982,0.16838511982,0.08132995378610001,0.08132995378610001,400.525631047,400.525631047,400.5256310470942,75.10035450980605,0.035914956290901086,,2.70364,,7.39963,,282.53981272388717,,,,0.035914956290901086,0.09497744197305663,0.05701790834931214,,0.00444597,0.0,0.005194467385423032,0.01901752579975376,35.206186835239784,0.25403676317296564,18.225611620703692,0.21630537459643234,0.1859215436972472,aniso3comp,-19387.023860053214,-328009.55940304,100440.9129405828,3201.7554922045147,-113905.30124585339,-19387.023860053214,0.010346604266913077,0.030125731606074457,227810.60249170684
28,SLy4_M14521283_M0_LR,,,R02,False,,passed,SLy4,1452.0,1283.0,1.6105,1.4018,3.0123,1.4285458371700002,1.26177437769,7.93328010082,7.9993285326,0.18007009048300002,0.157735189638,0.0751336659969,0.0868060982155,264.568160499,592.675451653,400.8832872936187,75.27471707311219,0.028183428504775575,,2.7095599999999997,0.0572130330958,7.3966,1.96071310101,282.6559958323444,199.19756838900003,0.01979489588521156,inf,0.028183428504775575,,0.057165789863941746,,0.00523808,0.0028548691294479314,0.005689233638460565,0.08348520302494597,26.91941322927316,0.15940604409353026,11.996059713520989,0.2385481660617249,0.2664114007023561,aniso3comp,-352298.7449577151,-352298.7449577151,110306.58307752227,110306.58307752227,-126009.93264790619,-126009.93264790619,0.031947619982828385,0.031947619982828385,252019.86529581223
29,Albino’s best fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.0050000000001,,,,,,,0.2,,aniso3comp,-129363.68258934635,,,43950.98544721759,,-129363.68258934635,0.045864073911339134,,
