,name,EOS,publish,export,comment,resolution,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k31,k41,k22,k32,k42,lam21,lam31,lam41,lam22,lam32,lam42,Lambda,k2T,tend,finished,MADM,EGW,JADM,JGW,f0,fpeak,tcoll,Mdisk,Mdisk_fit,Mej,Yeej,Sej,vej,Ekej,chi2_simDisk,chi2_fitDisk,err_simDisk,err_fitDisk,chi2w_simDisk,chi2w_fitDisk,errw_simDisk,errw_fitDisk,chi2
20,DD2_M135135_M0,DD2,yes,no,M0,125,1.35,1.35,1.47277,1.47277,2.94554,1.34026500358747,1.34026500358747,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,18.2884915674865,no (2.71 ms to go),2.67288,0.0405296560376,7.01514,1.46941546656,663.58,2539.76899696,inf,,0.099616129547211,0.0014195,0.225551296204,20.5024689813,0.166251706985,0.492784284551,34922.7262981258,34922.7262981258,0.012928319059265,0.012928319059265,4772.06729102293,4772.06729102293,0.002728903828054,0.002728903828054,34922.7262981257
21,DD2_M140120_LK,DD2,yes,yes,leakage,125,1.4,1.2,1.53253,1.29693,2.82946,1.38959109246487,1.19292876120195,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.4613637817,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,21.4922286164773,yes,2.57644,0.0305524638663,6.53749,1.1779539338,652714,2489.96960486,inf,,0.09982011495838,0.000889373,0.121703207033,14.838858128,0.178656091942,0.358035356336,41453.893566218,41453.893566218,0.015006615919354,0.015006615919354,5734.10353898616,5734.10353898616,0.003048576844098,0.003048576844098,41453.8935662179
22,DD2_M140120_M0,DD2,yes,no,M0,125,1.4,1.2,1.53253,1.29693,2.82946,1.38959109246487,1.19292876120195,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.4613637817,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,24.8260066526966,yes,2.57644,0.026999011288,6.53749,1.08752639025,652714,2340.57142857,inf,,0.09982011495838,0.00164611,0.211572203284,17.634491606,0.159595757173,0.542362345284,33930.207002883,33930.207002883,0.012454788115294,0.012454788115294,4800.66083666418,4800.66083666418,0.00267573305903,0.00267573305903,33930.207002883
23,DD2_M140140_LK,DD2,yes,yes,leakage,125,1.4,1.4,1.53254,1.53254,3.06508,1.3895993147991,1.3895993147991,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,129.493143057952,22.6271317777435,yes,2.77062,0.0536440195295,7.44301,1.79108256352,671364,2639.36778116,inf,,0.098314702938405,0.00041999,0.170901852867,21.9135986193,0.223043086864,0.260589266898,55192.15830537,55192.15830537,0.017698640972161,0.017698640972161,7674.36549427915,7674.36549427915,0.003408566085624,0.003408566085624,55192.1583053701
24,DD2_M140140_LK_HR,DD2,yes,yes,leakage,0.083333,1.4,1.4,1.53254,1.53254,3.06508,1.3895993147991,1.3895993147991,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,129.493143057952,22.5089126984449,yes,2.77062,0.0477327163444,7.44301,1.64406377272,671364,2589.56838906,inf,,0.098314702938405,0.000914184,0.135365124917,16.5856904751,0.184838814535,0.388369118345,40162.673418894,40162.673418894,0.014547629635078,0.014547629635078,5159.16790509274,5159.16790509274,0.002929358473326,0.002929358473326,40162.673418894
25,DD2_M144139_LK,DD2,yes,no,leakage,125,1.44,1.39,1.58001,1.52026,3.10027,1.42851325832185,1.37949433797033,8.9535534415221,8.94581027159223,0.16083,0.15538,0.09481,0.02519,0.00909,0.09772,0.02615,0.00951,587.3913919792,1206.69488128916,2404.92214982524,719.310854121257,1594.57374853502,3431.35111307928,650.209372648612,121.924397170414,21.4449409847579,yes,2.79924,0.0570937886781,7.58863,1.89235286087,675312,2589.56838906,inf,,0.097345767555993,0.000531682,0.170668056164,22.0175644974,0.197831552819,0.264375251821,51624.5738727688,51624.5738727688,0.016936443805366,0.016936443805366,7179.45453514639,7179.45453514639,0.003360399567257,0.003360399567257,51624.5738727688
26,DD2_M150150_LK,DD2,yes,yes,leakage,125,1.5,1.5,1.6565,1.6565,3313,1.49070684094546,1.49070684094546,8.96110878786069,8.96110878786069,0.16739,0.16739,0.09118,24,0.00857,0.09118,24,0.00857,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,86.728543708415,21.2203247340907,yes,2.9703,0.0735807650314,8.39708,2.27434934648,689.77,2738.96656535,inf,,0.077299641152068,0.000690053,0.197331003488,23.2494246791,0.167387468145,0.261229293558,67773.4568262472,67773.4568262472,0.015513106418316,0.015513106418316,7149.07460471033,7149.07460471033,0.003354345895016,0.003354345895016,67773.4568262472
27,DD2_M160160_LK,DD2,yes,no,leakage,125,1.6,1.6,1.77792,1.77792,3.55584,1.58815051056196,1.58815051056196,8.96810716888067,8.96810716888067,0.17841,0.17841,0.08488,0.02195,0.0077,0.08488,0.02195,0.0077,313.053198761785,508.673260549891,800.863835624408,313.053198761785,508.673260549891,800.863835624408,313.053198761785,58.6974747678346,9.95404647693835,yes,3.16204,0.0537546146041,9.32398,1.71088006496,703514,4133.34954407,2.28172755068782,0.0460095444493,0.011023967161267,0.00123068,0.141130844832,12.9466071189,0.236486818059,0.832514593326,243653.75935759,2590195.17220832,0.033152333502838,0.11208872642984,30247.7151003931,420183.731424096,0.005730954376047,0.019084784515012,243653.759357591
28,LS220_M120120_LK,LS220,yes,yes,leakage,125,1.2,1.2,1.29564,1.29564,2.59128,1.17938109401522,1.17938109401522,8.65051903114187,8.65051903114187,0.13872,0.13872,0.11088,0.03205,0.0126,0.11088,0.03205,0.0126,1439.01909740288,4323.07937457077,12617.0992835526,1439.01909740288,4323.07937457077,12617.0992835526,1439.01909740288,269.81608076304,21.1257494706518,yes,2.3781,0.0372849759328,5.75586,1.34818527929,633964,2539.76899696,inf,,0.099836720386027,0.00140069,0.116899163673,14.9572646894,0.146553098364,0.327685613084,39955.8005369696,39955.8005369696,0.013939384845604,0.013939384845604,6501.3152554474,6501.3152554474,0.003053448668857,0.003053448668857,39955.8005369696
29,LS220_M1251365_LK,LS220,yes,yes,leakage,125,1365,1.25,1.49118,1.3547,2.84588,1.34090717580228,1.22862266337396,8.60059227521895,8.64035390889611,0.15871,0.14467,0.09601,0.02685,0.01021,0.10641,0.03047,0.01186,635.629071909269,1411.40933376363,3043.88201008702,1119.43473060578,3063.10455123961,8138.02561434627,848.433748838148,159.195558899078,24.6013904020293,yes,2.58838,0.0536918084107,6.62293,1.71074331941,654686,2838.56534954,inf,,0.09961718216274,0.00110871,0.102591572716,13.090111665,0.160045944821,0.318235153213,40780.2900753434,40780.2900753434,0.01446455648844,0.01446455648844,6123.86726494169,6123.86726494169,0.003070760223926,0.003070760223926,40780.2900753433
30,LS220_M135135_LK,LS220,yes,yes,leakage,125,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,21.7404886830043,yes,2.67124,0.0842542507727,6.99988,2.33084239653,662606,2987.96352584,20.3391758652292,0.0969302395637,0.098181603529793,0.000591045,0.11379542362,15.7096778734,0.157891449754,0.167559408905,57098.6940080536,56923.6813435636,0.017393266936355,0.017553154472954,8872.06829915484,9021.14868995986,0.003684559403819,0.003707452458028,57098.6940080536
31,LS220_M135135_LK_LR,LS220,yes,yes,leakage,0.166666,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,27.6475020119554,yes,2.67124,0.0662628599441,6.99988,1.98944739541,662606,2838.56534954,inf,,0.098181603529793,0.00109147,0.130245267194,15.7435486077,0.163810071055,0.323758192718,40624.7489437928,40624.7489437928,0.014234962422445,0.014234962422445,5770.24030501278,5770.24030501278,0.003009715358923,0.003009715358923,40624.7489437928
32,LS220_M135135_LK_HR,LS220,no,no,leakage,0.083333,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,0.796008467276939,no (20.2 ms to go),2.67124,0.00477021845569,6.99988,0.386275950485,662606,946.188449848,inf,,0.098181603529793,0.0000000491,0.270463820037,146.745925471,0.0415582961376,0.000000895,131793.099982053,131793.099982053,0.024452157738436,0.024452157738436,29413.8103370812,29413.8103370812,0.005985582619919,0.005985582619919,131793.099982053
33,LS220_M135135_M0,LS220,yes,no,M0,125,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,20.4873664424396,no (0.51 ms to go),2.67124,0.0790154190777,6.99988,2.24514922857,662606,2938.16413374,inf,,0.098181603529793,0.00185523,0.246561703806,19.4029392905,0.147051125522,0.497001563133,35977.2453424368,35977.2453424368,0.012330803718316,0.012330803718316,5435.49348443782,5435.49348443782,0.002753414615199,0.002753414615199,35977.2453424368
34,LS220_M135135_M0_L5,LS220,yes,no,M0. lmix=5,125,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,22.5207346063748,yes,2.67124,0.0772782793803,6.99988,2.20993893762,662606,2987.96352584,inf,,0.098181603529793,0.00270703,0.271861280499,19.6940638807,0.130158312861,0.58408800363,36608.1275921278,36608.1275921278,0.012405756081781,0.012405756081781,6256.09352198223,6256.09352198223,0.002906301058509,0.002906301058509,36608.1275921277
35,LS220_M135135_M0_L25,LS220,yes,no,M0. lmix=25,125,1.35,1.35,1.47334,1.47334,2.94668,1.3263478329092,1.3263478329092,8.60640061201071,8.60640061201071,0.15686,0.15686,0.0974,0.02733,0.01043,0.0974,0.02733,0.01043,683.764650054586,1559.52698387368,3455.53351049596,683.764650054586,1559.52698387368,3455.53351049596,683.764650054587,128.205871885235,24.3531303355024,yes,2.67124,0.0878989717059,6.99988,2.37727690465,662606,3037.76291793,18.0811914505785,0.0835273903421,0.098181603529793,0.00195074,0.255092221045,21.0703194362,0.138757639642,0.508637128897,51829.6314243558,37813.3598775568,0.012816640956062,0.012717827837318,6376.322454966,6159.44621282364,0.002931398231237,0.002898667555736,51829.6314243557
